feature_0,feature_1,feature_2,label
3.745401188473625,9.50714306409916,7.319939418114051,0.0
5.986584841970366,1.5601864044243652,1.5599452033620265,1.0
0.5808361216819946,8.661761457749352,6.011150117432088,1.0
7.080725777960454,0.20584494295802447,9.699098521619943,1.0
8.324426408004218,2.1233911067827616,1.8182496720710062,0.0
1.8340450985343382,3.0424224295953772,5.247564316322379,0.0
4.319450186421157,2.9122914019804194,6.118528947223795,1.0
1.3949386065204183,2.9214464853521815,3.663618432936917,0.0
4.56069984217036,7.851759613930136,1.9967378215835974,1.0
5.142344384136116,5.924145688620425,0.46450412719997725,1.0
6.075448519014383,1.7052412368729153,0.6505159298527952,1.0
9.488855372533333,9.656320330745594,8.08397348116461,1.0
3.0461376917337066,0.9767211400638387,6.842330265121569,0.0
4.4015249373960135,1.2203823484477883,4.951769101112702,0.0
0.34388521115218396,9.093204020787821,2.587799816000169,1.0
6.62522284353982,3.1171107608941098,5.200680211778108,0.0
5.4671027934327965,1.8485445552552704,9.695846277645586,1.0
7.7513282336111455,9.394989415641891,8.948273504276488,0.0
5.978999788110851,9.218742350231167,0.884925020519195,1.0
1.959828624191452,0.45227288910538066,3.2533033076326436,0.0
3.8867728968948203,2.713490317738959,8.287375091519294,0.0
3.567533266935893,2.8093450968738076,5.426960831582485,1.0
1.4092422497476265,8.021969807540398,0.7455064367977082,1.0
9.868869366005173,7.722447692966574,1.987156815341724,1.0
0.05522117123602399,8.154614284548341,7.068573438476172,1.0
7.2900716804098735,7.712703466859457,0.7404465173409036,1.0
3.5846572854427263,1.1586905952512971,8.631034258755935,0.0
6.232981268275579,3.308980248526492,0.6355835028602363,1.0
3.109823217156622,3.2518332202674705,7.29606178338064,0.0
6.3755747135521315,8.872127425763265,4.722149251619493,1.0
1.195942459383017,7.13244787222995,7.607850486168974,0.0
5.612771975694963,7.70967179954561,4.937955963643907,1.0
5.227328293819941,4.275410183585496,0.2541912674409519,0.0
1.0789142699330445,0.3142918568673425,6.364104112637804,0.0
3.143559810763267,5.085706911647028,9.07566473926093,1.0
